qualité du sommeil;temps au lit (secondes);marches;rythme cardiaque (bpm)
93%;29189.7;2695.0;0.0
79%;28322.6;5231.0;0.0
86%;34679.0;1060.0;0.0
81%;29478.2;4876.0;0.0
25%;7452.5;0.0;0.0
74%;25291.0;4110.0;0.0
85%;38815.6;4484.0;0.0
81%;29600.7;4893.0;0.0
90%;30385.3;12048.0;0.0
80%;28684.8;2044.0;0.0
75%;24817.9;2701.0;0.0
80%;26310.5;2333.0;0.0
88%;28364.5;2240.0;0.0
80%;29000.6;2585.0;0.0
71%;24506.7;556.0;0.0
82%;25297.0;1933.0;0.0
100%;34580.1;3477.0;0.0
62%;25500.6;3637.0;0.0
89%;29553.0;2887.0;0.0
77%;27426.8;14029.0;0.0
81%;24066.5;2863.0;0.0
58%;22804.5;4297.0;0.0
63%;28232.0;2394.0;0.0
54%;32108.7;5550.0;0.0
10%;2863.0;0.0;0.0
57%;28212.8;14022.0;0.0
72%;28780.4;2536.0;0.0
62%;23078.1;632.0;0.0
51%;22614.9;3444.0;0.0
74%;30625.3;4206.0;0.0
77%;31615.1;737.0;0.0
75%;37220.9;8377.0;0.0
83%;33363.9;9273.0;0.0
73%;29439.8;1519.0;0.0
73%;25358.3;88.0;0.0
73%;33061.7;8538.0;0.0
78%;30129.0;10258.0;0.0
75%;29899.5;3394.0;0.0
67%;29108.4;8857.0;0.0
78%;28379.5;5589.0;0.0
73%;25668.4;6962.0;0.0
78%;32236.0;3998.0;0.0
69%;24749.0;16983.0;0.0
77%;26217.9;1583.0;0.0
81%;28632.8;8373.0;0.0
81%;28129.0;4320.0;0.0
69%;25547.8;0.0;0.0
83%;29612.6;8414.0;0.0
60%;20846.9;2992.0;0.0
20%;5510.8;2992.0;0.0
73%;24855.0;2660.0;0.0
82%;26859.7;4019.0;0.0
77%;25228.6;3461.0;0.0
96%;33582.6;4168.0;0.0
68%;24580.6;11558.0;0.0
63%;23065.2;11528.0;0.0
69%;25318.7;4173.0;0.0
63%;23941.3;4103.0;0.0
78%;24551.6;9818.0;0.0
98%;34591.5;157.0;0.0
88%;29418.3;8498.0;0.0
80%;26484.1;2680.0;0.0
85%;27757.8;5663.0;0.0
69%;23095.4;1203.0;0.0
67%;22114.4;2541.0;0.0
90%;31606.6;668.0;0.0
63%;22354.3;7039.0;0.0
68%;24363.5;3607.0;0.0
70%;25064.8;3454.0;0.0
59%;17424.7;3012.0;0.0
70%;25175.3;2698.0;0.0
69%;23598.8;5274.0;0.0
88%;27277.9;3501.0;0.0
52%;23005.5;5096.0;0.0
77%;23997.1;9594.0;0.0
86%;32315.4;1054.0;0.0
71%;34046.3;12588.0;0.0
79%;25576.9;11844.0;0.0
69%;25104.7;3226.0;0.0
82%;24661.6;277.0;0.0
66%;23487.8;5796.0;0.0
87%;27411.0;6507.0;0.0
60%;22493.7;574.0;0.0
52%;23112.9;4719.0;0.0
58%;22918.4;1957.0;0.0
72%;22911.2;3065.0;0.0
58%;24265.7;8364.0;0.0
69%;23867.3;1919.0;0.0
78%;26113.2;4976.0;0.0
81%;30504.0;3925.0;0.0
73%;20858.1;1232.0;0.0
81%;23503.9;2339.0;0.0
74%;25269.4;2045.0;0.0
83%;26505.3;1985.0;0.0
74%;22770.5;741.0;0.0
82%;25122.6;4675.0;0.0
72%;27162.0;2521.0;0.0
71%;24474.1;3903.0;0.0
9%;2536.2;495.0;0.0
49%;32198.1;13388.0;0.0
77%;21433.6;456.0;0.0
68%;23225.9;5156.0;0.0
