qualité du sommeil;temps au lit (secondes);marches;rythme cardiaque (bpm)
82%;35395.4;1660.0;0.0
73%;32108.3;2938.0;0.0
80%;30356.8;363.0;0.0
85%;25688.2;1595.0;0.0
100%;32238.4;6042.0;0.0
82%;28931.6;1387.0;0.0
78%;28459.7;1191.0;0.0
73%;29922.1;3622.0;0.0
79%;26335.4;4078.0;0.0
35%;27113.0;190.0;0.0
81%;35485.7;3487.0;0.0
60%;24023.6;2484.0;0.0
79%;28738.2;5285.0;0.0
68%;26012.6;6538.0;0.0
68%;25069.2;4938.0;0.0
61%;25999.5;4245.0;0.0
75%;26272.8;9453.0;0.0
70%;26881.2;6210.0;0.0
75%;27378.0;6315.0;0.0
72%;31714.2;5737.0;0.0
67%;27672.6;9200.0;0.0
73%;25945.1;2078.0;0.0
75%;27672.7;4038.0;0.0
85%;27473.7;5873.0;0.0
67%;31730.3;4160.0;0.0
82%;26566.7;3932.0;0.0
75%;31635.8;2816.0;0.0
79%;24861.1;81.0;0.0
87%;29214.8;4925.0;0.0
86%;29146.7;4718.0;0.0
79%;28625.2;4740.0;0.0
78%;28639.9;5180.0;0.0
72%;24268.2;3418.0;0.0
80%;26526.1;4615.0;0.0
84%;28185.4;5616.0;0.0
68%;28156.9;1392.0;0.0
74%;23695.2;5171.0;0.0
96%;31750.0;4452.0;0.0
100%;33548.6;7169.0;0.0
78%;26026.3;369.0;0.0
88%;31179.5;3692.0;0.0
94%;29258.0;5252.0;0.0
69%;24837.0;2030.0;0.0
61%;36899.6;960.0;0.0
68%;28889.8;20566.0;0.0
78%;28660.8;2091.0;0.0
74%;23297.3;1792.0;0.0
72%;22817.1;3982.0;0.0
78%;26653.6;10504.0;0.0
77%;29503.9;2578.0;0.0
76%;31632.1;1520.0;0.0
74%;25807.8;7060.0;0.0
62%;24247.3;1528.0;0.0
80%;27000.0;5043.0;0.0
83%;29528.3;4687.0;0.0
89%;31594.7;5680.0;0.0
84%;28440.0;7548.0;0.0
68%;24484.2;5002.0;0.0
82%;27571.3;5740.0;0.0
76%;25929.6;2062.0;0.0
96%;30464.1;3438.0;0.0
71%;27345.4;578.0;0.0
67%;28852.5;1847.0;0.0
67%;24541.4;3349.0;0.0
78%;27018.3;3867.0;0.0
67%;27447.2;63.0;0.0
88%;28078.8;5426.0;0.0
61%;23184.3;857.0;0.0
84%;29468.7;4155.0;0.0
96%;31244.7;2100.0;0.0
98%;30183.6;290.0;0.0
92%;31386.2;593.0;0.0
96%;29018.0;5383.0;0.0
92%;31211.7;295.0;0.0
87%;28770.5;1156.0;0.0
82%;26786.5;3225.0;0.0
92%;31260.3;290.0;0.0
99%;30347.6;189.0;0.0
75%;26751.5;87.0;0.0
80%;27175.0;93.0;0.0
86%;28018.5;255.0;0.0
99%;32119.1;3079.0;0.0
85%;28064.2;4587.0;0.0
89%;27112.7;249.0;0.0
83%;26042.1;2748.0;0.0
84%;27230.4;1555.0;0.0
78%;26822.4;1721.0;0.0
86%;28499.6;2240.0;0.0
92%;27713.1;2897.0;0.0
100%;33394.3;2020.0;0.0
76%;27026.6;999.0;0.0
86%;28101.1;7636.0;0.0
75%;24977.4;7041.0;0.0
88%;27173.7;2711.0;0.0
100%;34178.3;1073.0;0.0
91%;30340.7;10147.0;0.0
100%;33387.4;4115.0;0.0
96%;31119.3;4154.0;0.0
86%;29464.7;14610.0;0.0
64%;31453.1;2949.0;0.0
99%;34942.8;2846.0;0.0
81%;32828.5;2690.0;0.0
94%;33839.6;4228.0;0.0
88%;30104.0;4325.0;0.0
76%;28148.8;2830.0;0.0
82%;29710.4;1593.0;0.0
81%;29559.5;2286.0;0.0
81%;27503.3;2759.0;0.0
89%;35689.3;234.0;0.0
97%;31387.6;2502.0;0.0
93%;31807.4;929.0;0.0
88%;28465.6;1777.0;0.0
74%;32022.7;1995.0;0.0
84%;25874.8;6643.0;0.0
66%;25745.8;2317.0;0.0
68%;26795.5;2390.0;0.0
61%;24623.2;1690.0;0.0
77%;33191.7;1018.0;0.0
99%;29269.4;972.0;0.0
89%;24935.1;2153.0;0.0
77%;25972.8;51.0;0.0
82%;27820.9;7553.0;0.0
97%;34205.7;5008.0;0.0
90%;29349.3;6556.0;0.0
73%;25739.2;7549.0;0.0
74%;28890.4;3965.0;0.0
62%;26504.0;2382.0;0.0
76%;26272.3;3387.0;0.0
100%;30068.0;3905.0;0.0
89%;29765.1;5630.0;0.0
80%;34655.4;3666.0;0.0
67%;32280.7;4404.0;0.0
91%;32446.5;3731.0;0.0
55%;35312.4;6065.0;0.0
61%;30882.7;2826.0;0.0
38%;29303.5;8467.0;0.0
71%;27067.7;110.0;0.0
94%;32605.7;3056.0;0.0
72%;26365.2;5299.0;0.0
90%;31947.9;1829.0;0.0
96%;30088.5;2194.0;0.0
83%;31105.4;13172.0;0.0
89%;28178.9;11414.0;0.0
50%;26875.1;904.0;0.0
62%;26318.8;3917.0;0.0
100%;32196.7;4670.0;0.0
48%;28186.6;254.0;0.0
94%;30822.6;1448.0;0.0
91%;33206.1;4560.0;0.0
59%;25864.3;407.0;0.0
34%;28971.6;9774.0;0.0
70%;26249.6;159.0;0.0
38%;27155.9;5905.0;0.0
71%;28698.0;7253.0;0.0
100%;32514.9;4418.0;0.0
39%;25770.2;1149.0;0.0
82%;24244.0;2485.0;0.0
56%;23081.4;5992.0;0.0
71%;26252.2;143.0;0.0
89%;29114.0;5921.0;0.0
98%;33627.9;7596.0;0.0
78%;23414.4;4657.0;0.0
80%;25005.7;1896.0;0.0
94%;30882.5;969.0;0.0
69%;28899.5;1780.0;0.0
75%;23505.0;3073.0;0.0
100%;33713.5;4850.0;0.0
95%;34182.8;4077.0;0.0
57%;23564.2;6141.0;0.0
68%;24240.4;5095.0;0.0
91%;31119.0;1645.0;0.0
100%;29260.2;6452.0;0.0
68%;26656.4;2302.0;0.0
92%;29790.2;3122.0;0.0
97%;29915.4;20015.0;0.0
94%;31155.0;9296.0;0.0
53%;26223.3;7452.0;0.0
65%;25879.9;9246.0;0.0
77%;27477.1;7512.0;0.0
67%;26548.3;10612.0;0.0
92%;29498.2;10151.0;0.0
77%;29833.0;275.0;0.0
100%;30964.5;4071.0;0.0
68%;23497.0;94.0;0.0
91%;27888.1;6963.0;0.0
78%;28909.9;9780.0;0.0
65%;27368.1;5918.0;0.0
69%;26899.9;9584.0;0.0
88%;28563.1;4664.0;0.0
84%;28412.4;5487.0;0.0
80%;28615.6;396.0;0.0
73%;25906.8;4830.0;0.0
87%;31758.1;966.0;0.0
77%;30517.1;5456.0;0.0
65%;23895.3;9737.0;0.0
7%;1852.8;9737.0;0.0
17%;4664.4;9737.0;0.0
69%;24647.9;2406.0;0.0
85%;26524.6;4290.0;0.0
68%;24708.3;8801.0;0.0
26%;8050.3;8801.0;0.0
80%;26239.7;1897.0;0.0
87%;26338.4;1870.0;0.0
79%;24341.1;4018.0;0.0
100%;35634.9;6266.0;0.0
82%;25424.1;10618.0;0.0
71%;26344.1;5139.0;0.0
84%;25359.5;1910.0;0.0
67%;25524.1;7679.0;0.0
75%;27133.5;3006.0;0.0
75%;32428.3;10778.0;0.0
60%;26065.0;2487.0;0.0
61%;25258.9;2212.0;0.0
84%;27139.3;1767.0;0.0
62%;27844.1;4358.0;0.0
90%;29534.6;166.0;0.0
100%;32367.0;4424.0;0.0
75%;27016.3;3810.0;0.0
