qualité du sommeil;temps au lit;activité (étapes);rythme cardiaque
66%;7:33;0;
38%;5:30;0;
84%;7:45;0;
76%;7:18;0;
70%;7:12;0;
90%;8:51;0;
77%;7:39;0;
69%;8:28;0;
85%;8:19;0;
94%;8:06;0;
88%;7:44;0;
68%;6:20;0;
92%;8:17;0;
64%;7:25;0;
78%;8:26;0;
70%;6:28;0;
95%;8:06;0;
90%;8:16;0;
98%;8:11;0;
70%;7:11;0;
75%;7:32;0;
91%;8:44;0;
79%;7:09;0;
92%;7:58;0;
69%;6:17;0;
83%;7:07;0;
82%;6:53;0;
79%;7:29;0;
85%;7:43;0;
90%;8:39;0;
98%;8:22;0;
87%;9:30;0;
80%;9:13;0;
80%;8:54;0;
80%;8:56;0;
65%;7:13;0;
82%;8:01;0;
75%;6:56;0;
66%;7:13;0;
58%;7:26;0;
89%;7:42;0;
86%;9:47;0;
67%;8:39;0;
62%;9:05;0;
81%;9:11;0;
73%;6:55;0;
81%;8:00;0;
53%;6:30;0;
94%;9:00;0;
67%;7:12;0;
82%;7:19;0;
85%;7:33;0;
77%;7:45;0;
94%;8:41;0;
81%;8:47;0;
75%;8:52;0;
79%;8:59;0;
81%;8:09;0;
79%;7:40;0;
9%;0:42;0;
65%;7:07;0;
81%;7:43;0;
87%;7:31;0;
74%;7:32;0;
92%;8:01;0;
95%;7:53;0;
81%;7:09;0;
95%;8:47;0;
85%;8:29;0;
79%;8:01;0;
83%;8:13;0;
89%;7:54;0;
87%;8:00;0;
93%;7:51;0;
74%;6:36;0;
83%;7:30;0;
74%;6:20;0;
80%;7:41;0;
83%;6:59;0;
100%;8:45;0;
81%;8:33;0;
85%;8:40;0;
83%;9:16;0;
79%;7:14;0;
76%;6:30;0;
91%;8:19;0;
75%;6:55;0;
90%;7:35;0;
88%;8:09;0;
89%;8:11;0;
72%;6:56;0;
100%;8:36;0;
72%;8:00;0;
70%;7:28;0;
67%;6:46;0;
65%;6:39;0;
71%;7:18;0;
70%;6:05;0;
77%;6:59;0;
76%;8:20;0;
87%;8:27;0;
93%;9:58;0;
77%;7:39;0;
82%;8:22;0;
68%;7:58;0;
64%;5:38;0;
83%;7:54;0;
79%;7:54;0;
74%;6:59;0;
83%;7:15;0;
83%;7:29;0;
82%;7:41;0;
86%;8:00;0;
64%;8:14;0;
62%;6:58;0;
77%;7:25;0;
83%;7:23;0;
90%;8:00;0;
86%;8:12;0;
85%;8:11;0;
75%;7:16;0;
92%;8:02;0;
96%;8:12;0;
85%;7:59;0;
99%;8:50;0;
96%;8:13;0;
78%;7:02;0;
84%;7:35;0;
87%;7:47;0;
98%;8:10;0;
76%;7:37;0;
77%;7:08;0;
77%;7:14;0;
82%;7:30;0;
87%;7:52;0;
99%;9:35;0;
74%;8:09;0;
81%;7:28;0;
86%;8:07;0;
84%;7:07;0;
95%;8:21;0;
35%;5:10;0;
96%;7:44;0;
78%;7:33;7200;
36%;8:24;3444;
56%;10:28;7901;
52%;8:11;3786;
35%;8:09;2668;
51%;7:30;4213;
54%;8:19;2210;
55%;8:13;3040;
46%;7:37;3887;
48%;8:33;5631;
36%;7:48;10059;
40%;8:09;3698;
49%;7:59;4399;
49%;7:47;4015;
54%;6:50;4374;
67%;9:09;5038;
61%;8:32;827;
41%;9:20;2542;
70%;8:10;7370;
69%;7:50;5658;
61%;7:41;7107;
58%;6:21;7048;
33%;7:17;6925;
60%;7:14;1130;
67%;7:34;7025;
59%;8:12;5955;
65%;7:53;9243;
70%;9:56;908;
57%;7:55;2191;
60%;8:07;11650;
57%;7:36;10842;
60%;7:59;5765;
70%;8:29;8047;
58%;7:31;359;
55%;8:03;8733;
55%;7:44;6963;
60%;7:09;10392;
53%;7:29;7230;
67%;8:20;7255;
55%;8:26;4555;
54%;6:56;8954;
62%;7:38;9726;
66%;8:28;8587;
54%;7:48;8612;
52%;6:33;8737;
71%;8:02;10375;
59%;7:49;21870;
56%;7:45;10106;
65%;7:16;9308;
61%;8:04;8406;
71%;8:30;779;
50%;7:27;3932;
63%;7:34;10266;
67%;7:35;10540;
64%;7:35;8164;
67%;8:19;7271;
54%;5:39;6044;
81%;8:40;7682;
66%;8:01;6719;
65%;7:21;8273;
69%;7:46;6366;
72%;7:30;9368;
63%;7:32;7967;
66%;7:34;8641;
68%;7:23;1283;
68%;7:37;4542;
72%;7:38;2870;
52%;6:01;10506;
80%;9:08;6716;
65%;7:49;6623;
70%;7:35;6608;
62%;6:56;7119;
65%;7:17;8981;
56%;7:20;7385;
74%;7:51;737;
72%;9:20;5274;
70%;7:56;2670;
73%;7:44;5825;
70%;7:36;5971;
81%;8:05;1540;
80%;8:01;847;
68%;7:01;6149;
80%;8:13;10585;
73%;7:25;10248;
88%;8:39;6536;
89%;8:30;5628;
75%;8:16;595;
83%;7:50;7499;
71%;6:57;3196;
89%;8:01;3763;
17%;1:24;3763;
71%;7:31;4904;
89%;8:02;3158;
78%;8:00;4514;
79%;7:55;7137;
72%;7:32;7709;
82%;7:32;10521;
69%;7:15;9338;
79%;9:23;4629;
82%;7:19;5776;
85%;8:01;168;
81%;7:38;6964;
83%;8:02;3448;
74%;8:20;4114;
75%;7:31;7112;
78%;7:11;3391;
96%;8:46;2335;
84%;7:20;7293;
86%;7:33;8488;
74%;8:00;5701;
69%;8:05;4509;
92%;9:00;3868;
73%;6:34;5216;
17%;1:19;5216;
87%;8:09;3669;
87%;7:29;10856;
93%;8:02;7787;
90%;9:29;10344;
79%;7:22;3094;
84%;8:16;202;
65%;7:57;7122;
84%;7:54;1734;
73%;7:07;2562;
64%;7:17;8076;
89%;7:54;12802;
74%;7:32;12258;
71%;7:12;4540;
24%;2:08;4540;
57%;6:37;173;
76%;8:09;6368;
92%;8:15;1740;
78%;8:38;5056;
96%;8:29;4223;
64%;8:22;4336;
89%;7:35;4772;
84%;7:17;3492;
85%;8:15;6010;
54%;6:45;4200;
21%;1:42;4200;
91%;8:02;4573;
63%;6:34;3228;
78%;7:36;5379;
74%;7:29;7521;
85%;8:11;2309;
80%;7:09;2983;
68%;7:35;6833;
75%;7:36;7665;
71%;7:50;7552;
71%;6:55;5339;
68%;6:40;4076;
62%;6:28;12892;
21%;1:36;12892;
100%;8:30;3417;
63%;9:16;2756;
74%;7:10;6003;
12%;1:33;6003;
59%;6:55;3588;
44%;7:48;5558;
83%;7:58;3301;
93%;8:20;3027;
79%;7:48;3361;
66%;8:04;460;
76%;7:43;7419;
72%;7:11;5499;
83%;7:31;4258;
81%;7:19;5862;
12%;0:55;5862;
80%;7:06;6388;
77%;7:07;4275;
81%;7:34;2499;
87%;8:01;7351;
12%;0:57;7351;
85%;8:07;6109;
81%;7:55;6388;
96%;8:16;6785;
93%;8:07;171;
97%;8:21;4670;
90%;8:01;7000;
85%;9:05;3744;
71%;7:13;7028;
86%;8:14;2679;
80%;7:53;1572;
81%;7:42;6212;
89%;8:17;5933;
71%;7:44;9185;
95%;8:04;7887;
99%;9:07;10528;
89%;8:54;302;
79%;7:18;2750;
88%;7:41;3695;
79%;7:01;1913;
72%;7:12;7155;
76%;7:21;7810;
100%;7:56;3549;
83%;7:29;3554;
78%;8:22;7562;
78%;7:11;7823;
79%;7:34;7708;
93%;8:51;8615;
80%;6:27;9461;
95%;9:54;4595;
90%;8:19;2835;
92%;8:03;1898;
81%;8:09;8396;
73%;6:35;7948;
68%;7:07;14408;
75%;7:29;8646;
65%;5:40;771;
70%;7:19;11355;
6%;0:27;0;
67%;7:16;4153;
74%;9:11;1318;
83%;8:12;889;
88%;10:07;4787;
73%;7:42;4581;
83%;7:44;1510;
66%;7:41;780;
59%;7:36;6284;
75%;7:51;8213;
75%;7:26;7905;
83%;9:09;8072;
86%;7:44;2666;
75%;7:59;3042;
72%;7:27;10319;
85%;8:00;8358;
68%;8:06;7337;
64%;7:51;6551;
90%;8:37;3357;
74%;7:43;2668;
72%;7:47;7491;
74%;8:16;11475;
77%;8:16;4810;
59%;7:21;6932;
73%;7:32;5954;
83%;7:20;11070;
81%;8:18;4310;
66%;7:43;8598;
64%;6:29;6073;
18%;1:40;0;
82%;7:32;2854;
95%;8:47;4280;
73%;6:59;4068;
73%;8:06;3298;
77%;8:22;3958;
75%;7:34;7661;
73%;7:36;1865;
90%;7:56;6764;
88%;7:10;82;
73%;7:52;5606;
90%;9:06;8858;
70%;7:32;14276;
82%;8:28;3884;
73%;8:04;4565;
81%;7:43;3770;
75%;7:41;1450;
88%;7:42;7711;
75%;8:21;6430;
86%;7:19;6964;
80%;7:41;4562;
69%;8:05;1867;
72%;9:16;8205;
67%;7:06;6705;
74%;7:47;7820;
76%;8:14;5391;
41%;7:40;10542;
70%;8:30;255;
67%;7:47;10427;
78%;7:52;6507;
93%;8:32;10373;
74%;7:54;9204;
68%;7:38;5027;
76%;7:48;7106;
31%;2:33;12153;
7%;0:34;804;
66%;7:39;5251;
70%;7:26;6672;
77%;7:43;7007;
10%;0:47;0;
72%;7:37;4898;
59%;7:00;7064;
74%;7:44;114;
83%;8:10;3403;
90%;8:51;6043;
86%;8:41;8946;
69%;8:28;7778;
77%;8:00;5510;
81%;7:12;17770;
73%;7:41;10604;
74%;7:48;7474;
66%;7:55;6430;
73%;7:57;11076;
70%;7:22;12647;
74%;7:35;4260;
65%;8:26;5504;
67%;7:13;6915;
81%;8:14;3919;
78%;6:43;5342;
69%;5:40;3739;
70%;8:17;5925;
71%;7:26;4840;
84%;8:39;5157;
87%;8:09;4336;
68%;6:48;135;
78%;7:57;5579;
84%;7:51;3901;
5%;0:21;6485;
87%;7:43;5451;
74%;7:35;2899;
51%;7:57;1552;
38%;6:53;5221;
72%;8:49;3834;
89%;7:12;1018;
82%;7:39;1837;
77%;6:54;893;
81%;7:33;5280;
80%;7:18;3584;
76%;8:31;1114;
81%;8:00;5152;
99%;9:08;3045;
73%;8:26;2429;
81%;7:31;7187;
59%;6:30;4488;
79%;7:42;5541;
58%;7:04;6246;
67%;7:18;7940;
83%;8:34;5029;
81%;7:27;9185;
35%;8:16;7581;
30%;7:00;10605;
94%;8:44;13476;
82%;9:17;3921;
74%;7:37;3332;
81%;8:15;3001;
89%;9:04;7268;
81%;7:21;4835;
84%;8:14;3230;
59%;7:17;1333;
81%;7:30;8922;
79%;7:59;5095;
77%;7:39;5470;
74%;8:48;2257;
56%;7:27;12094;
86%;8:04;6059;
55%;6:48;6075;
79%;7:59;4400;
91%;8:33;4880;
71%;7:41;7213;
69%;7:44;3640;
76%;7:47;5184;
65%;8:02;4443;
72%;7:44;5242;
80%;8:13;5142;
73%;8:01;5050;
66%;6:47;1706;
83%;8:02;10076;
75%;7:04;5320;
80%;8:46;2809;
79%;7:33;6235;
69%;8:21;2757;
76%;7:05;5551;
96%;8:44;3729;
75%;7:20;7101;
76%;7:13;4906;
55%;8:47;4507;
71%;10:07;1588;
79%;7:42;3951;
80%;7:36;5912;
71%;7:38;5314;
79%;8:14;3240;
88%;9:11;356;
80%;8:25;388;
69%;7:09;4287;
74%;8:09;7129;
78%;8:21;3342;
60%;6:00;4074;
